fund_code,fund_name,date,unit_nav,accumulated_nav,daily_growth_rate,return_1w,return_1m,return_3m,return_6m,return_1y,return_2y,return_3y,return_ytd,return_since_inception,fee_rate
020692,博时中证全指通信设备指数发起式C,2025-09-30,2.1832,2.1832,-2.08,-1.92,5.6,76.22,102.26,94.3,,,87.87,118.32,0.00%
017102,大摩数字经济混合A,2025-09-30,2.2921,2.2921,-1.38,-3,3.03,54.8,64.54,94.26,165.01,,66.7,129.21,1.50%
007818,国泰中证全指通信设备ETF联接C,2025-09-30,2.4929,2.4929,-2.05,-1.95,5.13,75.38,100.62,94.24,129.23,210.76,87.44,149.29,0.00%
005963,宝盈人工智能股票C,2025-09-30,4.1652,4.1652,2.79,6,15.93,55.21,61.38,94.23,101.78,75.43,68.58,316.52,0.00%
168401,红土转型精选混合(LOF),2025-09-30,3.5505,3.5505,-0.23,-0.45,5.6,58.27,68.35,94.02,88.26,40.96,85.32,255.05,1.50%
000649,长城久鑫混合A,2025-09-30,2.5185,3.0832,0.0,1.04,16.1,42.98,41.43,93.98,72.23,51.84,87.67,208.32,1.50%
240011,华宝大盘精选混合,2025-09-30,4.7387,5.2455,-0.88,0.58,11.2,82.33,115.38,93.97,133.64,85.48,103.99,494.54,1.50%
001323,东吴移动互联混合A,2025-09-30,6.1244,6.1244,0.7,2.17,12.14,72.84,85.91,93.89,148.91,241.82,91.35,512.44,1.50%
519087,新华优选分红混合A,2025-09-30,0.9589,4.7512,0.56,-2.44,-1.54,39.61,79.47,93.83,68.57,22.43,65.86,1175.52,1.20%
012477,富国匠心精选12个月持有混合A,2025-09-30,1.3773,1.3773,-0.56,0.17,9.27,68.91,82.81,93.69,90.18,74.63,97.24,37.73,1.50%
002170,东吴移动互联混合C,2025-09-30,6.0605,6.0605,0.7,2.17,12.12,72.75,85.73,93.5,147.9,239.81,91.06,499.46,0.00%
020397,中银港股通医药混合发起A,2025-09-30,2.0025,2.0025,2.79,2.14,3.43,33.21,71.3,93.46,,,126.55,100.25,1.50%
002692,富国创新科技混合A,2025-09-30,2.592,2.592,-0.8,-2.59,9.23,87.01,103.45,93.43,90.17,71.88,112.29,159.2,1.50%
009023,鹏华稳健回报混合A,2025-09-30,1.8724,1.8724,0.25,3.72,11.19,44.42,59.3,93.17,83.1,72.32,68.55,87.24,1.50%
017103,大摩数字经济混合C,2025-09-30,2.2571,2.2571,-1.38,-3.01,2.97,54.57,64.06,93.1,161.91,,65.95,125.71,0.00%
017461,长城久鑫混合C,2025-09-30,2.4761,2.4761,0.0,1.03,16.04,42.76,41,92.86,70.2,,86.86,54.8,0.00%
020899,天弘中证全指通信设备指数发起A,2025-09-30,2.2542,2.2542,-2.02,-1.84,5.49,77.57,102.93,92.8,,,88.18,125.42,1.00%
001534,华宝万物互联混合A,2025-09-30,1.978,1.978,0.41,1.59,2.17,52.86,79,92.6,77.24,54.41,75.04,97.8,1.50%
012478,富国匠心精选12个月持有混合C,2025-09-30,1.3441,1.3441,-0.55,0.16,9.21,68.67,82.25,92.54,87.91,71.55,96.36,34.41,0.00%
162201,宏利成长混合,2025-09-30,3.5708,5.9673,-1.77,-3.86,5.16,65.15,76.89,92.53,138.82,64.3,80.14,2563.84,1.50%
012696,同泰数字经济股票A,2025-09-30,1.1445,1.1445,-1.43,-0.82,6.53,70.46,81.81,92.51,97.36,68.01,79.7,14.45,1.50%
017511,鹏华稳健回报混合C,2025-09-30,1.5807,1.5807,0.25,3.71,11.16,44.28,58.98,92.49,81.73,,68.05,58.07,0.00%
016075,华夏智造升级混合A,2025-09-30,1.2341,1.2341,0.26,0.23,14.22,33.14,30.76,92.47,65.25,,63.54,23.41,1.50%
000969,前海开源大安全混合,2025-09-30,3.364,3.364,-0.38,-0.74,11.02,63.06,88.25,92.45,110.91,94.34,82.03,236.4,1.50%
020900,天弘中证全指通信设备指数发起C,2025-09-30,2.2479,2.2479,-2.02,-1.84,5.47,77.48,102.73,92.44,,,87.9,124.79,0.00%
009914,富国成长动力混合A,2025-09-30,1.5134,1.5134,-0.36,0.8,9.37,69.15,84.34,92.4,90.1,73.83,97.83,51.34,1.50%
501015,财通多策略升级混合(LOF)A,2025-09-30,2.17,2.17,2.21,3.09,4.08,43.52,78.16,92.38,105.1,93.92,78.45,117,1.50%
011120,富国创新科技混合C,2025-09-30,2.52,2.52,-0.79,-2.59,9.23,86.81,103.06,92.37,88.06,68.9,111.41,0.72,0.00%
020476,泰康半导体量化选股股票发起式A,2025-09-30,2.2756,2.2756,2.3,8.85,14.36,50.27,53.46,92.13,,,57.64,127.56,1.20%
010415,华泰柏瑞质量精选混合A,2025-09-30,1.1059,1.1059,-1.94,-4.83,-0.23,73.69,104.91,92.1,86.15,61.7,107.29,10.59,1.50%
010418,财通景气行业混合A,2025-09-30,1.3006,1.3006,2.15,2.85,3.91,42.66,76.81,92.06,107.47,95.67,77.73,30.06,1.50%
008020,华富中证人工智能产业ETF联接A,2025-09-30,1.5143,1.5143,0.4,2.45,6.95,63.96,68.01,92.05,103.64,145.75,77.42,51.43,1.00%
011486,博时创新精选混合A,2025-09-30,1.0876,1.0876,0.45,0.65,8.39,56.06,66.96,91.95,76.82,49.23,82.58,8.76,1.50%
012697,同泰数字经济股票C,2025-09-30,1.1256,1.1256,-1.43,-0.83,6.51,70.31,81.46,91.79,95.82,66.02,79.18,12.56,0.00%
020398,中银港股通医药混合发起C,2025-09-30,1.9766,1.9766,2.79,2.13,3.39,33.07,70.63,91.61,,,125.48,97.66,0.00%
008021,华富中证人工智能产业ETF联接C,2025-09-30,1.4897,1.4897,0.4,2.44,6.92,63.83,67.76,91.45,102.43,143.53,77.03,48.97,0.00%
016463,华宝万物互联混合C,2025-09-30,1.943,1.943,0.41,1.62,2.16,52.75,78.58,91.43,75.05,51.8,74.26,36.45,0.00%
020477,泰康半导体量化选股股票发起式C,2025-09-30,2.2631,2.2631,2.3,8.84,14.33,50.12,53.16,91.37,,,57.18,126.31,0.00%
016234,财通景气行业混合C,2025-09-30,1.2849,1.2849,2.15,2.83,3.87,42.51,76.45,91.32,105.81,93.48,77.2,66.27,0.00%
016076,华夏智造升级混合C,2025-09-30,1.2131,1.2131,0.26,0.22,14.16,32.94,30.37,91.31,63.29,,62.83,21.31,0.00%
015715,富国成长动力混合C,2025-09-30,1.4822,1.4822,-0.37,0.78,9.31,68.87,83.76,91.25,87.83,70.58,96.92,63.08,0.00%
010416,华泰柏瑞质量精选混合C,2025-09-30,1.0811,1.0811,-1.94,-4.84,-0.28,73.5,104.41,91.11,84.24,59.27,106.51,8.11,0.00%
011487,博时创新精选混合C,2025-09-30,1.0631,1.0631,0.46,0.64,8.36,55.88,66.55,91,75.05,47.02,81.88,6.31,0.00%
015043,西部利得时代动力混合发起A,2025-09-30,1.6047,1.6047,0.16,0.98,7.26,50.72,55.09,90.94,99.09,73.8,69.02,60.47,1.50%
015271,财通多策略升级混合(LOF)C,2025-09-30,2.133,2.133,2.25,3.09,4.05,43.35,77.9,90.79,102.76,90.96,77.16,86.13,0.00%
001313,摩根智慧互联股票A,2025-09-30,1.4025,1.4025,0.37,2.85,9.79,58.56,60.56,90.63,90.43,52.48,68.65,40.25,1.50%
671030,西部利得事件驱动股票A,2025-09-30,3.9447,3.9447,0.15,0.93,7.28,52.09,53.51,90.6,102.95,76.71,66.6,294.47,1.50%
015044,西部利得时代动力混合发起C,2025-09-30,1.5835,1.5835,0.16,0.98,7.23,50.58,54.79,90.21,97.52,71.75,68.53,58.35,0.00%
005699,工银新经济混合(QDII)人民币A,2025-09-29,1.7238,1.7238,1.78,-1.38,5.48,33.18,57.99,90.12,59.43,76.01,101.8,72.38,1.50%
014915,财通匠心优选一年持有混合A,2025-09-30,1.358,1.358,-1.98,-5.37,1.97,84.74,101.78,89.98,129.66,58.4,52.48,35.8,1.50%
009708,工银新兴制造混合C,2025-09-30,2.902,2.902,1.26,4.48,18.26,57.3,57.73,106.62,140.91,137.23,69.04,190.2,0.00%
017745,嘉实绿色主题股票发起式C,2025-09-30,1.5012,1.5012,4.08,7.31,14.95,48.52,46.64,106.24,93.5,,73.33,50.12,0.00%
016067,鹏华新能源汽车混合A,2025-09-30,1.2819,1.2819,3.18,9.28,27.74,55.04,52.59,106.23,98.38,58.06,82.79,28.19,1.50%
012535,万家全球成长一年持有期混合(QDII)A,2025-09-29,0.958,0.958,1.58,0.11,5.38,37.74,52.96,106.15,90.57,52.89,77.74,-4.2,1.50%
014728,易方达成长动力混合C,2025-09-30,2.1711,2.1711,-0.78,0.6,11.57,73.06,94.07,106.03,148.95,128.03,99.35,117.11,0.00%
010392,易方达战略新兴产业股票C,2025-09-30,1.6214,1.6214,-0.52,-0.22,12.61,75.57,84.52,106,133.9,120.15,99.09,62.14,0.00%
020670,易方达上证科创板芯片指数发起式A,2025-09-30,2.5865,2.5865,2.03,7.25,15.93,60.66,61.09,105.75,,,71,158.65,1.20%
004206,华商元亨混合A,2025-09-30,2.9696,3.3316,-0.78,-0.84,4.82,52.11,69.88,105.73,137.75,158.13,85.7,269.64,1.50%
012650,博时半导体主题混合A,2025-09-30,1.381,1.381,2.24,6.33,18.15,55.1,55.87,105.48,104.84,87.25,64.97,38.1,1.50%
018325,国泰海通创新成长混合发起A,2025-09-30,1.4675,1.4675,0.96,5.85,12.81,66.69,82.18,105.42,103.76,,91.08,46.75,1.50%
010350,景顺长城品质长青混合A,2025-09-30,1.8588,1.8588,0.17,-1.44,3.16,47.99,58.7,105.32,145.13,144.68,79.16,85.88,1.50%
015143,中欧智能制造混合A,2025-09-30,1.9889,1.9889,3.29,6.31,5.86,37.65,38.35,105.23,135.96,110.69,75.31,98.89,1.50%
020671,易方达上证科创板芯片指数发起式C,2025-09-30,2.5739,2.5739,2.03,7.25,15.9,60.55,60.85,105.16,,,70.63,157.39,0.00%
016068,鹏华新能源汽车混合C,2025-09-30,1.2577,1.2577,3.17,9.27,27.69,54.81,52.13,105,96,55.25,81.99,25.77,0.00%
001048,富国新兴产业股票A,2025-09-30,3.786,3.786,0.29,-0.03,5.67,65.04,55.61,104.98,106.1,93.56,69.85,278.6,1.50%
019053,华商元亨混合C,2025-09-30,2.9417,3.2587,-0.78,-0.85,4.78,51.96,69.53,104.92,135.87,,85.15,133.93,0.00%
012536,万家全球成长一年持有期混合(QDII)C,2025-09-29,0.9352,0.9352,1.59,0.11,5.33,37.55,52.51,104.91,88.28,50.16,76.95,-6.48,0.00%
519674,银河创新成长混合A,2025-09-30,9.8951,9.8951,3.21,6.3,13.85,51.22,53.59,104.9,123.61,96.96,57.98,889.51,1.50%
018326,国泰海通创新成长混合发起C,2025-09-30,1.4538,1.4538,0.96,5.85,12.77,66.55,81.84,104.62,102.17,,90.54,45.38,0.00%
011369,华商均衡成长混合A,2025-09-30,1.6592,1.6592,-1.83,-5.28,2.05,67.61,92.91,104.49,102.05,92.5,99.81,65.92,1.50%
006430,凯石澜龙头经济一年持有混合,2025-09-30,1.2796,1.9996,-1.58,-3.89,0.53,82.33,105.03,104.44,116.11,60.51,106.42,128.25,1.50%
011891,易方达先锋成长混合A,2025-09-30,2.023,2.023,-2.04,-4.4,-1.88,53.82,99.96,104.41,86.73,90.15,94.33,102.3,1.50%
015751,景顺长城品质长青混合C,2025-09-30,1.8323,1.8323,0.17,-1.45,3.12,47.85,58.37,104.36,142.95,141.51,78.59,138.39,0.00%
012651,博时半导体主题混合C,2025-09-30,1.3468,1.3468,2.23,6.32,18.08,54.86,55.39,104.25,102.4,83.94,64.22,34.68,0.00%
015144,中欧智能制造混合C,2025-09-30,1.9523,1.9523,3.29,6.3,5.82,37.49,37.98,104,133.39,107.36,74.55,95.23,0.00%
015686,富国新兴产业股票C,2025-09-30,3.716,3.716,0.3,-0.03,5.63,64.86,55.16,103.95,103.84,90.27,69.22,111.02,0.00%
